molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing",true,"nepc_wcm_2016_mutations","nepc_wcm_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome and whole genome sequencing of 14 NHL samples.",true,"nhl_bcgsc_2011_mutations","nhl_bcgsc_2011"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole genome sequencing.",true,"nhl_bcgsc_2013_mutations","nhl_bcgsc_2013"
"MUTATION_EXTENDED","MAF","Somatic mutations","Somatic mutation status from Whole genome sequencing on 56 NPC samples.",true,"npc_nusingapore_mutations","npc_nusingapore"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Copy Number data",true,"nsclc_pd1_msk_2018_cna","nsclc_pd1_msk_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from next-gen sequencing.",true,"nsclc_pd1_msk_2018_mutations","nsclc_pd1_msk_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Putative copy-number calls. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"nsclc_tcga_broad_2016_cna","nsclc_tcga_broad_2016"
"MUTATION_EXTENDED","MAF","Somatic mutations","Somatic mutation status.",true,"nsclc_tcga_broad_2016_mutations","nsclc_tcga_broad_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from targeted ngs sequencing.",true,"nsclc_unito_2016_mutations","nsclc_unito_2016"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"odg_msk_2017_gistic","odg_msk_2017"
"MUTATION_EXTENDED","MAF","Mutations","Sequencing of samples",true,"odg_msk_2017_mutations","odg_msk_2017"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"ov_tcga_rppa","ov_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"ov_tcga_rppa_Zscores","ov_tcga"
"PROTEIN_LEVEL","CONTINUOUS","Protein levels (mass spectrometry by CPTAC)","Protein levels measured with mass spectrometry by the Clinical Proteomic Tumor Analysis Consortium (CPTAC)",false,"ov_tcga_protein_quantification","ov_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein level Z-scores (mass spectrometry by CPTAC)","Protein level Z-scores measured with mass spectrometry by the Clinical Proteomic Tumor Analysis Consortium (CPTAC)",true,"ov_tcga_protein_quantification_zscores","ov_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 579 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ov_tcga_gistic","ov_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (U133 microarray only)","mRNA expression data from the Affymetrix U133 microarray.",false,"ov_tcga_mrna_U133","ov_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (U133 microarray only)","mRNA z-Scores  (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ov_tcga_mrna_U133_Zscores","ov_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 561 hgsoc cases (Agilent microarray).",false,"ov_tcga_mrna","ov_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ov_tcga_mrna_median_Zscores","ov_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 307 hgsoc cases (RNA Seq V2 RSEM).",false,"ov_tcga_rna_seq_v2_mrna","ov_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ov_tcga_rna_seq_v2_mrna_median_Zscores","ov_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"ov_tcga_linear_CNA","ov_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 10 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"ov_tcga_methylation_hm450","ov_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: OV/20160128/gdac.broadinstitute.org_OV.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"ov_tcga_mutations","ov_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ov_tcga_pan_can_atlas_2018_gistic","ov_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","ov_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","ov_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"ov_tcga_pan_can_atlas_2018_log2CNA","ov_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"ov_tcga_pan_can_atlas_2018_mutations","ov_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (GISTIC)","Putative copy-number calls determined using Gistic2 on the MSKCC Agilent 1M data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ov_tcga_pub_gistic","ov_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (all genes)","mRNA expression values, median values from all three mRNA expression platforms.",false,"ov_tcga_pub_mrna","ov_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression Z-scores (all genes)","mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms.",true,"ov_tcga_pub_mrna_median_Zscores","ov_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"ov_tcga_pub_linear_CNA","ov_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation beta-values (HM27 platform). For genes with multiple methylation probes, the probe most negatively correlated with expression is used.",false,"ov_tcga_pub_methylation_hm27","ov_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations and BRCA1 and BRCA2 germline mutations from whole exome sequencing.",true,"ov_tcga_pub_mutations","ov_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","expression levels for microRNAs.",false,"ov_tcga_pub_mirna","ov_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",true,"ov_tcga_pub_mirna_median_Zscores","ov_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA/miRNA expression Z-scores (all genes)","mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",true,"ov_tcga_pub_mrna_merged_median_Zscores","ov_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 23 surgically resected pancreatic carcinomas with acinar differentiation.",true,"paac_jhu_2014_mutations","paac_jhu_2014"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 99 tumor/normal pairs.",true,"paad_icgc_mutations","paad_icgc"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression","Expression levels",true,"paad_qcmg_uq_2016_rna_seq_v2_mrna_median_Zscores","paad_qcmg_uq_2016"
"MUTATION_EXTENDED","MAF","Mutations","Primary tumours (nâ??=â??342) and 41 patient-derived cell lines underwent whole genome sequencing (WGS) when tumour cellularity was >40% (nâ??=â??179), or deep-exome sequencing (nâ??=â??204) for samples with a cellularity of 12â??40%.",true,"paad_qcmg_uq_2016_mutations","paad_qcmg_uq_2016"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"paad_tcga_rppa","paad_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"paad_tcga_rppa_Zscores","paad_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 184 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"paad_tcga_gistic","paad_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 183 paad cases (RNA Seq V2 RSEM).",false,"paad_tcga_rna_seq_v2_mrna","paad_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"paad_tcga_rna_seq_v2_mrna_median_Zscores","paad_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"paad_tcga_linear_CNA","paad_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 195 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"paad_tcga_methylation_hm450","paad_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: PAAD/20160128/gdac.broadinstitute.org_PAAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"paad_tcga_mutations","paad_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"paad_tcga_pan_can_atlas_2018_gistic","paad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"paad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","paad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"paad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","paad_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"paad_tcga_pan_can_atlas_2018_log2CNA","paad_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"paad_tcga_pan_can_atlas_2018_mutations","paad_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"paad_utsw_2015_gistic","paad_utsw_2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 109 pancreatic ductal adenocarcinoma (PDA) with paired normals.",true,"paad_utsw_2015_mutations","paad_utsw_2015"
"MUTATION_EXTENDED","MAF","Mutations","Whole-exome sequencing of major neoplastic cyst types of the pancreas: 8 serous cystadenomas (SCAs), 8 intraductal papillary mucinous neoplasms (IPMNs), 8 mucinous cystic neoplasms (MCNs), and 8 solid pseudopapillary neoplasms (SPNs).",true,"pact_jhu_2011_mutations","pact_jhu_2011"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole genome sequencing.",true,"panet_arcnet_2017_mutations","panet_arcnet_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 10 pancreatic neuroendocrine tumors.",true,"panet_jhu_2011_mutations","panet_jhu_2011"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 10 functional pancreatic neuroendocrine tumors.",true,"panet_shanghai_2013_mutations","panet_shanghai_2013"
"MUTATION_EXTENDED","MAF","Mutations","Mutation profile by Deep sequencing was carried out with Illumina HiSeq 2000 instruments",true,"past_dkfz_heidelberg_2013_mutations","past_dkfz_heidelberg_2013"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 19 immunocompetent primary central nervous system lymphoma(PCNSL) samples.",true,"pcnsl_mayo_2015_mutations","pcnsl_mayo_2015"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"pcpg_tcga_rppa","pcpg_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"pcpg_tcga_rppa_Zscores","pcpg_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 162 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"pcpg_tcga_gistic","pcpg_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 187 mnet cases (RNA Seq V2 RSEM).",false,"pcpg_tcga_rna_seq_v2_mrna","pcpg_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"pcpg_tcga_rna_seq_v2_mrna_median_Zscores","pcpg_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"pcpg_tcga_linear_CNA","pcpg_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 187 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"pcpg_tcga_methylation_hm450","pcpg_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: PCPG/20160128/gdac.broadinstitute.org_PCPG.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"pcpg_tcga_mutations","pcpg_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"pcpg_tcga_pan_can_atlas_2018_gistic","pcpg_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"pcpg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","pcpg_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"pcpg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","pcpg_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"pcpg_tcga_pan_can_atlas_2018_log2CNA","pcpg_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"pcpg_tcga_pan_can_atlas_2018_mutations","pcpg_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"pediatric_dkfz_2017_mutations","pediatric_dkfz_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-exome sequencing of 22 malignant pleural mesotheliomas(PLMESO) and matched blood samples.",true,"plmeso_nyu_2015_mutations","plmeso_nyu_2015"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Putative copy-number calls. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"prad_broad_cna","prad_broad"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression","mRNA expression values from 31 samples",false,"prad_broad_mrna","prad_broad"
